CALIB_AIRSPEED,TRUE_AIRSPEED,VERTICAL_SPEED,ALTITUDE,AOA_LEFT,AOA_RIGHT,MAGNETIC_HEADING,AUTOPILOT_ENGAGED,AUTOTHROTTLE_ENGAGED,IN_AIR
30.0,50.0,-8.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-22.63,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.63,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.62,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.68,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.7,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.72,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.76,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.76,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.81,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.81,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.85,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.85,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.9,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.9,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.94,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.98,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.98,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-22.98,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.03,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.03,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.03,-0.7,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.07,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.12,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.16,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.25,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.42,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.6,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-23.86,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-24.21,-0.66,32.17,0.0,0.0,0.0
30.0,50.0,0.0,196.0,-24.65,-0.66,32.08,0.0,0.0,0.0
30.0,50.0,0.0,197.0,-24.96,-0.66,31.99,0.0,0.0,0.0
30.0,50.0,0.0,197.0,-25.18,-0.66,31.64,0.0,0.0,0.0
30.0,50.0,0.0,196.0,-25.31,-0.66,31.11,0.0,0.0,0.0
30.0,50.0,-8.0,196.0,-25.44,-0.66,30.23,0.0,0.0,0.0
30.0,50.0,-8.0,196.0,-25.75,-0.66,29.18,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-26.59,-0.66,27.69,0.0,0.0,0.0
30.0,50.0,-8.0,196.0,-27.25,-0.66,25.75,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-27.29,-0.66,23.82,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-27.29,-0.66,21.62,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-27.33,-0.66,19.34,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.29,-0.66,16.96,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.29,-0.66,14.41,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.29,-0.66,11.69,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-27.25,-0.66,8.79,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.25,-0.66,5.71,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.25,-0.66,2.55,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-27.25,-0.66,-0.62,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-26.98,-0.62,-3.87,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-26.98,-0.62,-7.21,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-26.94,-0.62,-10.55,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-26.89,-0.62,-14.06,0.0,0.0,0.0
30.0,50.0,-16.0,195.0,-26.02,-0.53,-17.58,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-25.93,-0.53,-21.18,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-25.88,-0.7,-25.05,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-25.49,-1.32,-29.0,0.0,0.0,0.0
30.0,50.0,-8.0,195.0,-21.49,-1.32,-33.05,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-15.69,-0.97,-37.27,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-12.08,-1.41,-41.4,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-10.9,-1.27,-45.53,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-5.8,-0.4,-49.75,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.21,-0.18,-53.88,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-7.95,-0.53,-57.92,0.0,0.0,0.0
30.0,50.0,0.0,195.0,-6.9,-0.57,-61.88,0.0,0.0,0.0
30.0,50.0,8.0,195.0,-7.12,-0.62,-65.57,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.16,-0.66,-68.55,0.0,0.0,0.0
30.0,50.0,8.0,195.0,-7.03,-0.88,-70.66,0.0,0.0,0.0
30.0,50.0,16.0,196.0,-7.51,-0.92,-71.89,0.0,0.0,0.0
30.0,50.0,0.0,196.0,-6.59,-0.92,-72.51,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.43,-0.92,-73.04,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.51,-0.88,-73.39,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-6.55,-0.92,-73.74,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.08,-0.92,-74.09,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.12,-0.92,-74.44,0.0,0.0,0.0
30.0,50.0,0.0,196.0,-7.25,-0.92,-74.79,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.47,-1.36,-75.06,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-7.73,-1.67,-75.5,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-8.09,-1.71,-75.76,0.0,0.0,0.0
30.0,50.0,8.0,196.0,-9.54,-1.93,-76.29,0.0,0.0,0.0
